Modelo;08-05-2017_NJ;09-05-2017_J;11-05-2017_J;15-05-2017_NJ;19-05-2017_NJ;23-05-2017_J;25-05-2017_;26-05-2017_
Polícia;polçia;policía;polícia;polícia;poisia;policia;polícia;polícia
Palha;palhaço;palha;palha;palha;palha;palha;palha;palha
Celeste;celeter;selecte;seleste;seleste;seleste;seleste;seleste;seleste
Bicicleta;bicicleta;biçiqueta;piçiqueba;biçiqueta;bisiqueta;biciquelta;biciqueta;biciqueta
Calçada;calsada;causada;calsada;causada;causada;calçada;calsada;causada
Cigarra;sigara;sigara;sigara;sigara;sigarra;sigarra;sigarra;sigarra
Geleia;geleia;gelia;geleia;geleia;geleia;geleia;geleia;geleaia
Foguete;fogute;foquete;fogqube;foguete;foguete;foguete;foguete;foguete
Galinha;galinha;galinha;galinha;galianha;galinha;galinha;galinha;galinha
Jiboia;giboa;giboia;giboia;giboia;giboia;giboia;giboia;giboia
Cereja;cereja;cereja;sereja;cereja;sereja;cereja;cereja;cereja
Porta;porta;porta;porta;porta;porta;porta;porta;porta
Quibe;quibe;quibe;quibe;quibe;quibe;quibe;quibe;quibe
Mupoca;mupoca;mutoca;mupoca;mupoca;mupoca;mupoca;mupoca;mupoca
Tabilu;taiepe;tadilu;tabilu;tabilu;tabilu;tabilu;tabilu;tabilu
Bejovi;garulhi;bejuvi;bejuvi;beguvi;beijovi;bejuvin;bejuvi;bejuvi
Tilbo;tiubo;tilbo;tiubo;tiubo;tiubo;tiubo;tiubo;tiubo
Tonhulame;toiepl;toiolame;toiolabe;toiolame;toilame;toiolame; ;toiolame
Garulhi;garulhi;garulhi;garulhi;garrolhi;garulhi;garulhi;-;garulhi
Orturre;-;orturre; ;oture;oture;oture; ;oture
