Modelo;08-05-2017_NJ;09-05-2017_J;11-05-2017_J;15-05-2017_NJ;19-05-2017_NJ;23-05-2017_J;25-05-2017_;26-05-2017_
Polícia;-;policia;policia;-;policia;-;policia;policia
Palha;-;pala;pola; ;pala; ;pala;pala
Celeste;-;celeste;celeste;-;celeste;-;celeste;celeste
Bicicleta;-;biciceta;biciqeta;-;biciqeta;-;biciqeta;biciqeta
Calçada;-;kcada;kucada;-;cada;-;biciqeta;biciqeta
Cigarra;-;ci;cicara;-;cigara;-;cigara;cigara
Geleia;-;gelcia;geleia;-;gela;-;glia;glia
Foguete;-;fo;cocrt;-;loge;-;fogete;fogete
Galinha;-;-;caira;-;galiga;-;galica;galia
Jiboia;-;-;cicora;-;giboica;-;giboia;giboa
Cereja;-;-;cacrga;-;cereja;-;caeja;cerega
Porta;-;-;pota;-;pota;-;pota;pota
Quibe;-;-;qibe;-;qibe;-;qibe;qibe
Mupoca;-;-;mupoca;-;mupoca;-;mupoca;mupoca
Tabilu;-;-;tabilu;-;tabilu;-;tabilu;tabilu
Bejovi;-;-;begu;-;bejuzi;-;beguvi;beguvi
Tilbo;-;-;tiubo;-;tiubo;-;tibi;tibu
Tonhulame;-;-;tola;-;toladilame;-;toulame;toulame
Garulhi;-;-;gaui;-;garui;-;hui;gau
Orturre;-;-;oturl;-;oute;-;oture;oture
